Group_ID	CR182.faa	GCA_002135175.faa	GCA_005795965.faa	GCA_017847635.faa	GCA_017847655.faa	GCA_017847675.faa	GCA_019295385.faa	GCA_019325155.faa	GCA_022712415.faa	GCA_022712555.faa	GCA_026239475.faa	GCA_026239495.faa	GCA_027564955.faa	GCA_028622045.faa	GCA_031119525.faa	GCA_039206795.faa	GCA_048590285.faa	GCA_964019725.faa	GCA_964019825.faa	GCA_964030995.faa	GCA_964031075.faa	GCA_964263215.faa	GCA_964273395.faa	GCA_964273555.faa	GCA_965226525.faa	GCF_000236085.faa	GCF_000328865.faa	GCF_000400935.faa	GCF_000400955.faa	GCF_000439435.faa	GCF_000439455.faa	GCF_000500935.faa	GCF_000517365.faa	GCF_000565175.faa	GCF_000565195.faa	GCF_000565215.faa	GCF_000820525.faa	GCF_001029245.faa	GCF_001029265.faa	GCF_001262715.faa	GCF_001267155.faa	GCF_001274875.faa	GCF_001281045.faa	GCF_001513715.faa	GCF_001715535.faa	GCF_001792795.faa	GCF_001886495.faa	GCF_001886855.faa	GCF_002028345.faa	GCF_002163565.faa	GCF_002237575.faa	GCF_002795265.faa	GCF_002813555.faa	GCF_002865545.faa	GCF_002868295.faa	GCF_002968355.faa	GCF_003124105.faa	GCF_003124115.faa	GCF_003339775.faa	GCF_003363775.faa	GCF_003987485.faa	GCF_003989055.faa	GCF_004379335.faa	GCF_005222125.faa	GCF_007993715.faa	GCF_008086545.faa	GCF_009730595.faa	GCF_009866525.faa	GCF_010365785.faa	GCF_010365805.faa	GCF_010587055.faa	GCF_010587105.faa	GCF_010587175.faa	GCF_010587255.faa	GCF_010587305.faa	GCF_012163225.faa	GCF_013113755.faa	GCF_016082235.faa	GCF_016082285.faa	GCF_018831625.faa	GCF_021496725.faa	GCF_022569815.faa	GCF_023509825.faa	GCF_023566085.faa	GCF_023566095.faa	GCF_023846195.faa	GCF_027923845.faa	GCF_029607405.faa	GCF_029607425.faa	GCF_029607445.faa	GCF_030060925.faa	GCF_030316605.faa	GCF_030913225.faa	GCF_040369795.faa	GCF_040372085.faa	GCF_040940205.faa	GCF_042465095.faa	GCF_044714355.faa	GCF_044714365.faa	GCF_049669535.faa	GCF_049949145.faa	GCF_049949155.faa	GCF_902809815.faa	GCF_918697755.faa	GCF_964019485.faa	GCF_964019495.faa	GCF_964019505.faa	GCF_964019525.faa	GCF_964019535.faa	GCF_964019575.faa	GCF_964019595.faa	GCF_964019625.faa	GCF_964019665.faa	GCF_964019705.faa	GCF_964019715.faa	GCF_964019735.faa	GCF_964019755.faa	GCF_964019765.faa	GCF_964019845.faa	GCF_964019925.faa	GCF_964019975.faa	GCF_964020005.faa	GCF_964020035.faa	GCF_964020065.faa	GCF_964020095.faa	GCF_964020195.faa	GCF_964020205.faa	GCF_964020225.faa	GCF_964020235.faa	GCF_964020965.faa	GCF_964030635.faa	GCF_964030645.faa	GCF_964030655.faa	GCF_964030685.faa	GCF_964030795.faa	GCF_964030805.faa	GCF_964030825.faa	GCF_964030835.faa	GCF_964030855.faa	GCF_964030865.faa	GCF_964030895.faa	GCF_964030925.faa	GCF_964030965.faa	GCF_964030985.faa	GCF_964031045.faa	GCF_964031085.faa	GCF_964031115.faa	GCF_964031135.faa	GCF_964031155.faa	GCF_964031175.faa	GCF_964031195.faa	GCF_964031205.faa	GCF_964031275.faa	GCF_964035735.faa	GCF_964263245.faa	GCF_964264745.faa	GCF_964264785.faa	GCF_964273375.faa	GCF_964277355.faa	GCF_965178695.faa	total
17	11	1	1	3	3	3	8	7	8	8	7	7	0	3	3	3	5	5	9	8	6	7	6	3	1	8	8	7	7	7	8	6	7	11	7	6	8	7	8	5	6	10	8	5	10	8	8	8	8	7	5	7	9	8	8	7	8	9	9	6	6	9	11	8	8	9	11	8	7	8	8	8	8	8	8	3	8	8	7	4	3	8	3	3	3	3	3	8	8	8	8	3	3	2	6	8	5	7	6	9	9	9	4	4	5	3	8	4	3	3	7	7	8	3	4	3	4	6	7	8	3	6	5	4	4	3	3	3	8	10	5	3	8	4	3	3	3	4	8	8	3	3	3	3	5	4	4	3	4	3	3	7	3	4	7	3	5	2	3	7	938
18	0	0	1	0	1	1	0	1	0	0	26	26	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	1	1	0	0	0	1	1	2	1	0	0	0	0	0	1	1	1	1	0	3	1	0	0	1	1	12	0	0	1	0	1	4	0	0	0	1	0	0	0	1	1	1	1	0	0	56	0	87	0	0	214	0	0	0	0	1	1	57	31	0	6	110	0	0	1	1	19	1	0	0	0	0	1	1	14	801
19	6	0	0	2	4	4	3	15	0	0	15	15	0	6	0	0	2	23	39	0	0	0	0	33	0	0	0	0	0	0	0	1	1	1	2	0	7	1	1	0	0	4	0	0	0	0	0	3	1	0	1	0	0	0	0	1	8	7	6	0	6	7	0	0	5	0	0	7	0	0	7	7	3	6	8	0	1	2	1	9	0	5	0	2	0	0	19	3	4	4	3	19	0	0	1	1	0	5	4	0	0	0	10	3	0	18	0	0	17	16	4	1	0	4	0	19	2	0	1	0	11	1	0	7	16	20	7	30	51	8	0	0	2	0	31	0	12	0	0	0	8	22	23	3	1	1	9	10	1	3	28	0	3	1	5	13	0	10	7	5	795
20	11	0	0	2	3	1	4	18	1	2	16	17	0	7	1	1	7	3	28	0	0	0	0	13	0	2	1	1	1	1	0	0	2	1	2	1	38	2	1	0	0	7	0	0	0	1	1	5	1	0	0	0	0	0	2	5	17	24	12	1	5	8	0	3	8	1	0	19	1	0	4	6	3	6	5	1	7	2	2	1	1	3	1	1	1	2	4	4	3	4	1	3	1	4	4	1	1	6	13	12	11	11	8	7	2	3	1	0	2	1	22	0	0	5	1	7	8	1	1	0	1	0	0	3	18	7	3	7	15	9	30	1	11	1	3	10	5	1	0	0	13	10	6	4	0	1	1	5	1	4	1	4	4	1	8	35	1	8	2	31	772
21	4	0	0	0	0	0	5	9	0	0	7	8	0	0	0	0	3	7	13	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	23	0	0	0	0	0	35	0	0	0	0	0	0	7	14	16	16	31	0	5	8	0	18	30	0	0	17	0	0	32	31	32	32	34	0	21	3	2	0	0	7	0	0	0	0	0	36	31	37	2	0	0	0	3	0	0	4	6	14	14	14	0	4	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	13	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	26	751
22	1	0	0	0	0	0	4	2	0	0	11	12	0	0	0	0	2	8	11	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	19	0	0	0	0	0	22	0	0	0	0	0	0	2	14	9	9	22	0	4	2	0	17	19	0	0	9	0	0	19	20	19	19	20	0	17	2	1	8	0	2	0	0	0	0	0	25	24	25	2	0	0	0	2	0	0	1	3	17	17	18	0	5	3	0	0	22	0	0	27	0	0	0	9	0	0	0	0	0	0	0	0	0	1	0	0	0	8	21	3	0	2	8	0	0	0	6	0	0	0	0	0	0	0	15	9	0	24	0	0	5	0	24	2	0	9	0	0	26	713
23	6	0	0	0	0	0	0	1	0	1	4	4	0	0	0	0	0	43	7	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	16	0	0	0	0	0	10	0	0	0	0	0	0	2	9	1	0	27	0	1	1	0	1	6	0	0	1	0	0	8	8	8	8	9	0	2	1	11	37	0	2	0	0	0	0	4	6	9	7	8	123	0	0	3	0	0	1	1	0	0	0	0	0	22	0	0	24	0	0	2	0	0	0	15	0	3	0	0	0	0	0	0	0	0	0	6	0	6	10	4	0	2	12	1	0	5	11	0	0	0	0	2	1	0	16	31	0	19	19	0	1	0	22	4	59	9	0	0	2	711
24	5	0	3	5	5	5	5	5	5	5	5	5	0	3	2	2	4	5	3	5	6	5	6	3	0	5	5	5	5	6	6	6	5	7	5	6	5	5	5	8	8	5	5	8	6	5	5	5	5	6	7	6	5	6	5	4	5	5	5	6	5	5	6	5	6	7	7	5	5	6	5	5	5	5	5	2	6	5	5	1	2	5	2	2	2	3	2	5	5	5	5	7	2	4	5	5	5	5	5	5	5	5	4	4	0	3	3	4	3	3	5	6	5	3	4	3	5	6	6	5	3	5	3	3	4	3	3	3	4	4	4	5	4	4	4	3	3	4	5	5	2	3	3	3	5	1	0	3	3	3	3	5	5	3	5	2	4	3	4	5	698
25	8	0	0	2	3	1	4	18	1	1	20	20	0	6	0	0	3	26	33	0	0	0	0	12	0	1	0	0	0	0	0	0	1	0	1	0	31	1	0	0	0	8	0	0	0	0	0	6	0	0	0	0	0	0	1	5	18	25	12	0	5	11	0	2	10	0	0	19	0	0	5	7	4	7	8	0	7	1	2	0	0	3	0	0	0	3	3	5	4	5	0	2	0	1	5	0	0	4	4	11	10	9	9	7	0	2	0	0	0	0	19	0	0	4	0	5	8	0	0	0	0	0	0	2	15	4	2	5	13	15	21	0	10	0	2	8	4	0	0	0	14	15	6	5	0	0	0	3	0	6	0	4	2	0	5	15	0	6	1	27	689
26	5	0	0	1	3	1	2	11	0	0	13	13	0	6	0	0	3	9	31	0	0	0	0	34	0	0	0	0	0	0	0	1	1	1	1	0	4	1	1	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	1	4	5	2	0	11	6	0	0	4	0	0	4	0	0	6	6	3	5	7	0	1	2	1	7	0	3	0	2	0	0	13	3	3	3	3	12	0	0	4	1	0	4	4	0	0	0	5	3	0	15	0	0	15	18	4	1	0	6	0	14	2	0	0	0	11	0	0	8	13	20	6	28	39	10	0	0	2	0	27	9	12	0	0	0	3	20	25	2	0	2	11	3	1	4	24	0	3	1	1	9	0	4	4	6	668
27	0	0	0	0	3	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	17	0	0	0	0	25	2	1	0	0	0	0	0	0	0	0	26	0	0	24	0	0	25	33	0	0	0	16	0	23	0	0	0	0	11	0	0	9	36	25	16	41	0	0	0	0	0	0	29	16	18	0	0	0	23	40	26	9	0	0	0	4	0	7	35	0	7	0	0	19	0	15	6	0	658
28	12	0	0	3	6	3	2	10	0	0	21	20	0	5	0	0	2	6	12	0	0	0	0	32	0	0	0	0	0	0	0	1	1	0	1	0	5	1	0	0	0	5	0	0	0	0	0	6	0	0	1	0	0	0	0	2	5	5	6	1	9	6	0	0	6	0	0	8	0	0	9	10	6	9	14	0	3	2	1	2	0	4	0	1	0	0	12	7	8	7	2	17	1	1	3	0	0	3	2	0	0	0	5	2	0	10	0	0	14	6	3	1	0	6	0	7	3	0	0	0	11	3	0	13	12	8	8	13	31	13	0	0	4	0	30	1	11	0	0	0	6	4	5	1	1	2	10	8	1	3	15	0	4	1	14	8	0	3	6	6	640
29	4	0	0	0	0	0	3	0	0	0	7	7	0	0	0	0	2	12	26	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	18	1	0	0	0	20	0	0	0	0	0	18	0	0	0	0	0	0	0	24	15	19	15	0	6	0	0	2	25	0	0	15	0	0	22	27	18	26	31	0	18	1	2	0	0	1	0	0	0	0	0	18	21	19	0	0	0	0	6	0	0	3	5	14	13	11	0	6	0	0	0	0	0	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	22	11	25	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	2	0	0	0	0	5	604
30	9	0	0	0	0	0	2	14	0	0	16	16	0	0	0	0	2	19	40	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	12	0	0	0	0	0	6	0	0	0	0	0	0	1	7	15	21	21	0	4	3	0	2	11	0	0	16	0	0	8	12	6	14	12	0	7	1	1	0	0	1	0	0	0	1	1	11	9	11	0	4	1	0	2	0	0	4	5	10	9	7	3	13	0	5	0	0	2	0	16	0	0	2	0	1	13	0	0	0	0	0	0	0	10	2	1	3	8	7	19	0	10	0	0	3	3	0	0	0	3	4	8	0	0	0	0	4	0	2	0	6	1	0	6	11	0	2	1	17	588
31	6	0	0	2	2	1	5	17	0	1	23	26	0	5	0	0	3	19	32	0	0	0	0	13	0	1	0	0	0	0	0	0	1	0	1	0	30	1	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	1	4	15	23	8	0	4	2	0	1	10	0	0	12	0	0	2	5	2	4	3	0	4	1	1	0	0	3	0	0	0	0	3	3	1	2	0	2	0	1	2	0	0	1	5	6	5	3	7	7	0	2	0	0	0	0	15	0	0	4	1	5	7	0	0	0	0	0	0	0	15	5	2	3	17	11	28	0	5	0	1	11	4	0	0	0	12	11	3	4	0	0	0	1	0	6	0	3	6	0	8	12	0	7	3	24	584
32	3	0	1	1	1	2	7	4	1	0	5	6	0	2	0	0	2	12	7	0	0	0	0	2	0	7	0	0	0	0	0	0	2	1	2	0	13	2	3	0	0	21	0	0	0	0	0	17	3	0	0	0	0	0	6	13	9	10	22	0	2	2	0	14	17	0	3	10	0	0	16	17	16	16	17	0	13	2	0	0	0	3	0	0	0	0	2	22	20	23	3	0	0	1	7	5	0	2	4	14	14	14	1	3	0	2	0	0	1	1	16	0	0	1	0	1	6	0	1	0	1	0	0	0	1	1	1	1	8	18	12	0	4	0	0	0	1	0	0	0	0	1	0	0	1	0	1	1	0	1	1	6	0	0	5	0	0	2	1	15	582
